BaRT_ID;HORVU_ID
BaRT2v18chr6HG321270;HORVU.MOREX.r3.6HG0621950
BaRT2v18chr6HG322350;HORVU.MOREX.r3.6HG0623730
BaRT2v18chr6HG323900;HORVU.MOREX.r3.6HG0626460
BaRT2v18chr6HG324650;HORVU.MOREX.r3.6HG0627750
BaRT2v18chr6HG325320;HORVU.MOREX.r3.6HG0628810
BaRT2v18chr7HG328780;HORVU.MOREX.r3.7HG0634510
BaRT2v18chr7HG329720;HORVU.MOREX.r3.7HG0636580
BaRT2v18chr7HG331350;HORVU.MOREX.r3.7HG0639910
BaRT2v18chr7HG334240;HORVU.MOREX.r3.7HG0645470
BaRT2v18chr7HG336110;HORVU.MOREX.r3.7HG0649670
BaRT2v18chr7HG336650;HORVU.MOREX.r3.7HG0650840
BaRT2v18chr7HG337490;HORVU.MOREX.r3.7HG0652750
BaRT2v18chr7HG337700;HORVU.MOREX.r3.7HG0653200
BaRT2v18chr7HG337870;HORVU.MOREX.r3.7HG0653510
BaRT2v18chr7HG338560;HORVU.MOREX.r3.7HG0654850
BaRT2v18chr7HG340780;HORVU.MOREX.r3.7HG0658560
BaRT2v18chr7HG341170;HORVU.MOREX.r3.7HG0659160
BaRT2v18chr7HG341770;HORVU.MOREX.r3.7HG0660500
BaRT2v18chr7HG341910;HORVU.MOREX.r3.7HG0660840
BaRT2v18chr7HG342890;HORVU.MOREX.r3.7HG0663060
BaRT2v18chr7HG351350;HORVU.MOREX.r3.7HG0679370
